"Req ID";"Segment ID";"Req Segment";"Non-atomic requirement";"Incomplete requirement";"Incorrect order requirement";"Coordination ambiguity";"Not requirement";"Incomplete condition";"Incomplete system response";"Passive voice";"Not precise verb";"Rimay Pattern "
"RQSVV.01";"RQSVV.01_1";"When the System_A receives a rejection message from System_B";"The requirement has more than one action in the system response.";"";"";"";"";" ";"  ";" ";" ";"7. Condition(Trigger), and SR";"When the? Actor <Action> (every ""Frequency"")? ,|then the? Actor must <Action> (every ""Text"")?."
"RQSVV.01";"RQSVV.01_2";", Then";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.01";"RQSVV.01_3";"it must transform it to the corresponding XML message type";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.01";"RQSVV.01_4";"and sent it to the System_C.""";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.02";"RQSVV.02_5";"When the Settlement Request does not contain all of the mandatory fields";"The requirement has more than one action in the system response.";"";"";"";"";" ";"  ";" ";" ";"6. Condition(Precondition LE), and SR";"If <Property> is equal to | is less or equal to |... ""Value"" ,|then the? Actor must <Action> (every ""Text"")?."
"RQSVV.02";"RQSVV.02_6";", then";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.02";"RQSVV.02_7";"System_A must immediately return a rejection message to System_B and stop processing this Settlement Request";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.02";"RQSVV.02_8";".""";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.03";"RQSVV.03_9";"When the field Transaction Type in the Request is equal to Corporate";"The requirement has more than one action in the system response.";"";"";"";"";" ";"  ";" ";" ";"6. Condition(Precondition LE), and SR";"If <Property> is equal to | is less or equal to |... ""Value"" ,|then the? Actor must <Action> (every ""Text"")?."
"RQSVV.03";"RQSVV.03_10";"then System_A must populate the 3TG fields Field_A and Field_B with the value_D";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.03";"RQSVV.03_11";"then System_A must populate the 6TG fields Field_D , and Field_E with the value_A""";"";"";"";"";"";" ";"  ";" ";" ";"";""
"RQSVV.04";"RQSVV.04_12";"When System_A identifies that a position update will be required for a Prime client , a Message = value AMR in the field Type .""";"";"";"";"";"The sentence does not contain a system response nor condition nor a scope phrase.";" ";"  ";" ";" ";"5. System response";"The? Actor must <Action> (every ""Text"")?."
